Title,Image,Rating,Price,Ad/Organic
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"32,990",Organic
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)",https://m.media-amazon.com/images/I/71CQ2SFwyZL._AC_UY218_.jpg,3.3 out of 5 stars,"29,990",Organic
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN",https://m.media-amazon.com/images/I/71xfR660ZmL._AC_UY218_.jpg,3.9 out of 5 stars,"64,090",Organic
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2024/1Yr ADP Free/Cloud Grey/1.54Kg), 82V700L2IN",https://m.media-amazon.com/images/I/71dd92w7ZaL._AC_UY218_.jpg,5.0 out of 5 stars,"22,990",Organic
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, NVIDIA Geforce RTX 3050, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6"", Windows 11, Graphite Black, 2.3KG, FA506NCR-HN054W, 48WHR Gaming Laptop",https://m.media-amazon.com/images/I/61nTNphSBvL._AC_UY218_.jpg,4.0 out of 5 stars,"63,990",Organic
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MS Office 2021, Mixed Black, 1.63KG, E1504FA-NJ542WS, Alexa Built-in, Thin & Light Laptop",https://m.media-amazon.com/images/I/61SJHAQfHwL._AC_UY218_.jpg,3.9 out of 5 stars,"40,990",Organic
"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,4.5 out of 5 stars,"76,990",Organic
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",https://m.media-amazon.com/images/I/51EuJs4AGpL._AC_UY218_.jpg,3.3 out of 5 stars,"24,990",Organic
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,4.1 out of 5 stars,"59,990",Organic
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.2 out of 5 stars,"33,990",Organic
